"id","accessCode","itemID","userID","participantID","task","sesID","instanceID","nihScore","dataTimestamp","trialsCount","trialsCorrect","nihAccuracy","nihAccPass","nihRTScore","nondominant_cntTotal","nondominant_cntCorrect","nondominant_rtMean","nondominant_rtMedian","nondominant_rtStDev","nondominant_nihMedian","nondominant_accuracy_Fieldname","dominant_cntTotal","dominant_cntCorrect","dominant_rtMean","dominant_rtMedian","dominant_rtStDev","dominant_nihMedian","dominant_accuracy_Fieldname","reportDate"
"1088","JRPOF18","3633","18648","NA","dccs","dj2r5k9998v919c8jk091bpet7","pub_4bb-T-2Ewh","3.25","2018-11-26 19:36:07","40","26","3","0","5","7","4","110","122","84.2931","300","0.571429","23","12","125.083","128","58.5607","300","0.521739","2019-03-20 16:58:39"
"1087","JRPOF18","3633","17230","NA","dccs","3qvob2e1f22u9br73as2u4ukl7","pub_@YJjPE4MDY","3.25","2018-11-26 21:13:57","40","26","3","0","5","7","4","119.75","91.5","107.788","300","0.571429","23","12","241.75","228","107.104","300","0.521739","2019-03-20 16:58:37"
"1086","JRPOF18","3633","17258","NA","dccs","f67lv8ba83eqcnhnotc87jfcm7","pub_cta8odDHWp","5","2018-11-26 21:22:49","10","10","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2019-03-20 16:58:35"
"1085","JRPOF18","3633","17256","NA","dccs","9d87lpqsrads0n1ngl7jc5ov60","pub_b~qg4CVYyK","2.75","2018-11-27 10:32:36","40","22","3","0","4.09555","7","3","410.333","455","89.7626","455","0.428571","23","9","1123.11","262","2436.27","413","0.391304","2019-03-20 16:58:33"
"1084","JRPOF18","3633","17196","NA","dccs","n7fq9be5486lalh6h1cg3q57h4","pub_FO@l5FixN3","5","2018-11-28 10:53:42","10","10","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2019-03-20 16:58:32"
"1083","JRPOF18","3633","17196","NA","dccs","pg0km2pdt3ja18400qv7vavi11","pub_21of7mk9iM","6.62802","2018-11-28 10:56:36","40","34","4","1","2.37802","7","2","1003.5","1003.5","236.881","1003.5","0.285714","23","22","740.045","695.5","252.1","695.5","0.956522","2019-03-20 16:58:31"
"1082","JRPOF18","3633","17197","NA","dccs","kt9im332o7fa68reck7ikpl736","pub_CACVj0j_CD","7.05669","2018-11-28 11:01:54","40","37","5","1","2.43169","7","7","994.714","979","74.9215","979","1","23","20","1861.55","1485.5","1214.47","1485.5","0.869565","2019-03-20 16:58:30"
"1081","JRPOF18","3633","17199","NA","dccs","nh77uthu1k9eg3056h1279gnc2","pub_@kaVpKvQZ6","7.33092","2018-11-28 10:59:54","40","34","4","1","3.08092","7","3","735.333","726","59.5511","726","0.428571","23","21","978.952","742","768.113","700.5","0.913043","2019-03-20 16:58:28"
"1080","JRPOF18","3633","17200","NA","dccs","a0brupecivlns0naj1vs2c5iv7","pub_ihl2xcR-~U","7.52774","2018-12-04 10:00:24","40","36","5","1","3.02774","7","6","753.833","744","321.534","744","0.857143","23","20","637.85","521","266.5","521","0.869565","2019-03-20 16:58:26"
"1079","JRPOF18","3633","17201","NA","dccs","nv02tncv9ris6r6rpjvqf1i326","pub_zhqMzwjziY","7.72293","2018-11-28 10:58:03","40","35","4","1","3.34793","7","3","624.667","642","110.029","642","0.428571","23","22","737.909","661.5","296.56","657","0.956522","2019-03-20 16:58:24"
"1078","JRPOF18","3633","17203","NA","dccs","jpibc6amr3p2q3nvsfnigiq7n5","pub_RQjg7dqVtB","7.49363","2018-11-28 11:01:00","40","38","5","1","2.74363","7","5","1177","848","722.473","848","0.714286","23","23","1030","883","739.369","807","1","2019-03-20 16:58:22"
"1077","JRPOF18","3633","17204","NA","dccs","ihottngfjp3pjkqg3tc6egha01","pub_5CJus~LKH-","2","2018-11-28 11:06:25","40","16","2","0","0.749834","7","1","2124","2124","0","2124","0.142857","23","5","2566.6","978","3606.45","978","0.217391","2019-03-20 16:58:20"
"1076","JRPOF18","3633","17210","NA","dccs","3daeo6vjjhp95aepfmefcds381","pub_M8PVTv7j5h","3","2018-12-04 10:02:58","40","24","3","0","4.91483","7","3","215.333","271","172.378","312","0.428571","23","11","338.818","284","103.356","300","0.478261","2019-03-20 16:58:18"
"1075","JRPOF18","3633","17211","NA","dccs","5sp8bm9g4ma2po691shg7q9p04","pub_X03NJS_xiW","9.22808","2018-11-28 11:04:41","40","35","4","1","4.85308","7","3","421.333","321","203.033","321","0.428571","23","22","829.864","571","1081.41","566","0.956522","2019-03-20 16:58:17"
"1074","JRPOF18","3633","17212","NA","dccs","k11uscgg9tnmsqcgiedsqc1567","pub_x6lfPzd8UP","7.66957","2018-11-28 11:09:06","40","38","5","1","2.91957","7","5","1202.8","782","901.275","782","0.714286","23","23","1092.13","802","744.289","802","1","2019-03-20 16:58:15"
"1073","JRPOF18","3633","17394","NA","dccs","6ff7c90rbd2fn6gc44h6qu48u0","pub_x-ERZh15Xp","6.57148","2018-11-28 10:59:08","40","35","4","1","2.19648","7","3","1260.33","1091","820.216","1091","0.428571","23","22","844.864","809.5","291.384","809.5","0.956522","2019-03-20 16:58:12"
"1072","JRPOF18","3633","17192","NA","dccs","nfd00lk008beb98hsmm0tthkk7","pub_e@4e6@_ERD","3.625","2018-11-28 11:02:34","40","29","4","0","1.36501","7","6","1917","1541.5","1807.68","1600","0.857143","23","13","2155.54","1235","2479.78","1235","0.565217","2019-03-20 16:58:11"
"1071","JRPOF18","3633","17194","NA","dccs","oev286nhg4aneiddfefc2jsrn3","pub_au-N15z6bJ","7.10078","2018-11-28 11:01:57","40","35","4","1","2.72578","7","3","873.333","855","51.0327","855","0.428571","23","22","1105.14","975","478.385","904","0.956522","2019-03-20 16:58:09"
"1070","JRPOF18","3633","17195","NA","dccs","3phnctlic5e7c0ejf18g10ghm3","pub_pj9NuI6yKW","6.72651","2018-11-28 11:16:14","40","34","4","1","2.47651","7","3","848.667","959","359.433","959","0.428571","23","21","995.143","799","492.389","799","0.913043","2019-03-20 16:58:07"
"1069","JRPOF18","3633","17198","NA","dccs","senvltemsjou07lk0u4ic315t5","pub_65sFfoGja8","6.79436","2018-11-28 11:06:30","40","34","4","1","2.54436","7","4","1008.25","929.5","377.797","929.5","0.571429","23","20","1029.95","980","486.459","980","0.869565","2019-03-20 16:58:06"
"1068","JRPOF18","3633","17202","NA","dccs","ae0bgbjud9r32cqiav1do9iec4","pub_ztsqcckLmm","6.91412","2018-11-28 11:04:55","40","39","5","1","2.03912","7","6","1413.17","1173","889.036","1173","0.857143","23","23","924.304","731","494.725","731","1","2019-03-20 16:58:04"
"1067","JRPOF18","3633","17205","NA","dccs","uqbn4q6c9fknn1mgtlk2c9edc6","pub_aMci4o~WXm","3.625","2018-11-28 11:14:01","40","29","4","0","2.489","7","6","930.333","953.5","103.813","953.5","0.857143","23","13","1214.77","1280","436.114","1280","0.565217","2019-03-20 16:58:02"
"1066","JRPOF18","3633","17206","NA","dccs","1991u7qsfq40o0p6cooet3pck4","pub_sGJM_5t8if","3.25","2018-11-28 11:01:25","40","26","3","0","3.74384","7","3","896.333","535","934.924","535","0.428571","23","13","747.385","510","808.229","573.5","0.565217","2019-03-20 16:58:00"
"1065","JRPOF18","3633","17207","NA","dccs","vtodav2dgb10breop2teesh7l0","pub_K77PkwG0vB","0","2018-11-28 11:13:28","40","33","4","1","0","7","0","0","0","0","0","0","23","23","1101.83","793","921.379","783.5","1","2019-03-20 16:57:58"
"1064","JRPOF18","3633","17208","NA","dccs","2upt55jbalbf42rouj4so5s5k5","pub_PNzskI2Gys","6.13634","2018-12-04 11:09:35","40","34","4","1","1.88634","7","4","2094.75","1258.5","1954.28","1258.5","0.571429","23","20","1118.7","975","777.069","921","0.869565","2019-03-20 16:57:56"
"1063","JRPOF18","3633","17209","NA","dccs","rloifqepu1tlku9qknictp7pc6","pub_BM4QxzktmU","7.70555","2018-11-28 11:05:54","40","40","5","1","2.70555","7","7","865.143","863","105.487","863","1","23","23","698.217","601","333.588","600.5","1","2019-03-20 16:57:54"
"1062","JRPOF18","3633","17213","NA","dccs","294o7ea8ieeetr2glst1rhdce3","pub_x6owqf-Tg5","6.70093","2018-11-28 11:03:44","40","39","5","1","1.82593","7","7","1254.57","1294","524.47","1294","1","23","22","933.773","885","352.198","885","0.956522","2019-03-20 16:57:52"
"1061","JRPOF18","3633","17386","NA","dccs","k5pgj7i72suue0gvn1nprg69k6","pub_Niut~iUoqI","8.03359","2018-11-28 11:00:21","40","40","5","1","3.03359","7","7","777.714","742","129.347","742","1","23","23","795.826","624","382.201","624","1","2019-03-20 16:57:48"
"1060","JRPOF18","3633","18128","NA","dccs","8hnmc04450pj6j3qbm1acnu6b0","pub_PV--3Xgp2B","6.35154","2018-11-28 10:59:26","40","33","4","1","2.22654","7","6","1243.83","1076","446.508","1076","0.857143","23","17","1331.94","1075","720.006","1075","0.73913","2019-03-20 16:57:46"
"1059","JRPOF18","3633","18129","NA","dccs","0sk46dn9h4i2l67s9u2mdkdft1","pub_wEl8qRIhEV","3","2018-11-28 11:30:44","40","24","3","0","0","7","5","6020.4","5909","2325.76","3000","0.714286","23","9","2418.44","1979","1504.71","1979","0.391304","2019-03-20 16:57:45"
"1058","JRPOF18","3633","17255","NA","dccs","5ds55a588h5k34fiuksmnd2m04","pub_eI166Cs9Wy","1.625","2018-12-03 12:14:42","40","13","2","0","0","7","0","0","0","0","0","0","23","3","774","422","799.405","422","0.130435","2019-03-20 16:57:42"
"1057","JRPOF18","3633","17253","NA","dccs","0pih3h0vq7hq7hiq4k6kn7f537","pub_ZOtMzmvIAf","1.75","2018-12-03 12:52:22","40","14","2","0","0","7","1","35","35","0","0","0.142857","23","3","190.667","47","251.441","481","0.130435","2019-03-20 16:57:38"
"1056","JRPOF18","3633","17252","NA","dccs","rg7khmnju85rcv7505lpi6tsa1","pub_kFQ@_1yxfW","1.75","2018-12-03 16:38:41","40","14","2","0","0","7","0","0","0","0","0","0","23","4","2736.25","373","4831.21","373","0.173913","2019-03-20 16:57:34"
